Date,Close
02.01.2018,"181,42"
03.01.2018,"184,67"
04.01.2018,"184,33"
05.01.2018,"186,85"
08.01.2018,"188,28"
09.01.2018,"187,87"
10.01.2018,"187,84"
11.01.2018,"187,77"
12.01.2018,"179,37"
16.01.2018,"178,39"
17.01.2018,"177,6"
18.01.2018,"179,8"
19.01.2018,"181,29"
22.01.2018,"185,37"
23.01.2018,"189,35"
24.01.2018,"186,55"
25.01.2018,"187,48"
26.01.2018,190
29.01.2018,"185,98"
30.01.2018,"187,12"
31.01.2018,"186,89"
01.02.2018,"193,09"
02.02.2018,"190,28"
05.02.2018,"181,26"
06.02.2018,"185,31"
07.02.2018,"180,18"
08.02.2018,"171,58"
09.02.2018,"176,11"
12.02.2018,"176,41"
13.02.2018,"173,15"
14.02.2018,"179,52"
15.02.2018,"179,96"
16.02.2018,"177,36"
20.02.2018,"176,01"
21.02.2018,"177,91"
22.02.2018,"178,99"
23.02.2018,"183,29"
26.02.2018,"184,93"
27.02.2018,"181,46"
28.02.2018,"178,32"
01.03.2018,"175,94"
02.03.2018,"176,62"
05.03.2018,"180,4"
06.03.2018,"179,78"
07.03.2018,"183,71"
08.03.2018,"182,34"
09.03.2018,"185,23"
12.03.2018,"184,76"
13.03.2018,"181,88"
14.03.2018,"184,19"
15.03.2018,"183,86"
16.03.2018,"185,09"
19.03.2018,"172,56"
20.03.2018,"168,15"
21.03.2018,"169,39"
22.03.2018,"164,89"
23.03.2018,"159,39"
26.03.2018,"160,06"
27.03.2018,"152,22"
28.03.2018,"153,03"
29.03.2018,"159,79"
02.04.2018,"155,39"
03.04.2018,"156,11"
04.04.2018,"155,1"
05.04.2018,"159,34"
06.04.2018,"157,2"
09.04.2018,"157,93"
10.04.2018,"165,04"
11.04.2018,"166,32"
12.04.2018,"163,87"
13.04.2018,"164,52"
16.04.2018,"164,83"
17.04.2018,"168,66"
18.04.2018,"166,36"
19.04.2018,"168,1"
20.04.2018,"166,28"
23.04.2018,"165,84"
24.04.2018,"159,69"
25.04.2018,"159,69"
26.04.2018,"174,16"
27.04.2018,"173,59"
30.04.2018,172
01.05.2018,"173,86"
02.05.2018,"176,07"
03.05.2018,"174,02"
04.05.2018,"176,61"
07.05.2018,"177,97"
08.05.2018,"178,92"
09.05.2018,"182,66"
10.05.2018,"185,53"
11.05.2018,"186,99"
14.05.2018,"186,64"
15.05.2018,"184,32"
16.05.2018,"183,2"
17.05.2018,"183,76"
18.05.2018,"182,68"
21.05.2018,"184,49"
22.05.2018,"183,8"
23.05.2018,"186,9"
24.05.2018,"185,93"
25.05.2018,"184,92"
29.05.2018,"185,74"
30.05.2018,"187,67"
31.05.2018,"191,78"
01.06.2018,"193,99"
04.06.2018,"193,28"
05.06.2018,"192,94"
06.06.2018,"191,34"
07.06.2018,"188,18"
08.06.2018,"189,1"
11.06.2018,"191,54"
12.06.2018,"192,4"
13.06.2018,"192,41"
14.06.2018,"196,81"
15.06.2018,"195,85"
18.06.2018,"198,31"
19.06.2018,"197,49"
20.06.2018,202
21.06.2018,"201,5"
22.06.2018,"201,74"
25.06.2018,"196,35"
26.06.2018,199
27.06.2018,"195,84"
28.06.2018,"196,23"
29.06.2018,"194,32"
02.07.2018,"197,36"
03.07.2018,"192,73"
05.07.2018,"198,45"
06.07.2018,"203,23"
09.07.2018,"204,74"
10.07.2018,"203,54"
11.07.2018,"202,54"
12.07.2018,"206,92"
13.07.2018,"207,32"
16.07.2018,"207,23"
17.07.2018,"209,99"
18.07.2018,"209,36"
19.07.2018,"208,09"
20.07.2018,"209,94"
23.07.2018,"210,91"
24.07.2018,"214,67"
25.07.2018,"217,5"
26.07.2018,"176,26"
27.07.2018,"174,89"
30.07.2018,"171,06"
31.07.2018,"172,58"
01.08.2018,"171,65"
02.08.2018,"176,37"
03.08.2018,"177,78"
06.08.2018,"185,69"
07.08.2018,"183,81"
08.08.2018,"185,18"
09.08.2018,"183,09"
10.08.2018,"180,26"
13.08.2018,"180,05"
14.08.2018,"181,11"
15.08.2018,"179,53"
16.08.2018,"174,7"
17.08.2018,"173,8"
20.08.2018,"172,5"
21.08.2018,"172,62"
22.08.2018,"173,64"
23.08.2018,"172,9"
24.08.2018,"174,65"
27.08.2018,"177,46"
28.08.2018,"176,26"
29.08.2018,"175,9"
30.08.2018,"177,64"
31.08.2018,"175,73"
04.09.2018,"171,16"
05.09.2018,"167,18"
06.09.2018,"162,53"
07.09.2018,"163,04"
10.09.2018,"164,18"
11.09.2018,"165,94"
12.09.2018,162
13.09.2018,"161,36"
14.09.2018,"162,32"
17.09.2018,"160,58"
18.09.2018,"160,3"
19.09.2018,"163,06"
20.09.2018,"166,02"
21.09.2018,"162,93"
24.09.2018,"165,41"
25.09.2018,"164,91"
26.09.2018,"166,95"
27.09.2018,"168,84"
28.09.2018,"164,46"
01.10.2018,"162,44"
02.10.2018,"159,33"
03.10.2018,"162,43"
04.10.2018,"158,85"
05.10.2018,"157,33"
08.10.2018,"157,25"
09.10.2018,"157,9"
10.10.2018,"151,38"
11.10.2018,"153,35"
12.10.2018,"153,74"
15.10.2018,"153,52"
16.10.2018,"158,78"
17.10.2018,"159,42"
18.10.2018,"154,92"
19.10.2018,"154,05"
22.10.2018,"154,78"
23.10.2018,"154,39"
24.10.2018,"146,04"
25.10.2018,"150,95"
26.10.2018,"145,37"
29.10.2018,"142,09"
30.10.2018,"146,22"
31.10.2018,"151,79"
01.11.2018,"151,75"
02.11.2018,"150,35"
05.11.2018,"148,68"
06.11.2018,"149,94"
07.11.2018,"151,53"
08.11.2018,"147,87"
09.11.2018,"144,96"
12.11.2018,"141,55"
13.11.2018,"142,16"
14.11.2018,"144,22"
15.11.2018,"143,85"
16.11.2018,"139,53"
19.11.2018,"131,55"
20.11.2018,"132,43"
21.11.2018,"134,82"
23.11.2018,"131,73"
26.11.2018,"136,38"
27.11.2018,135
28.11.2018,"136,76"
29.11.2018,"138,68"
30.11.2018,"140,61"
03.12.2018,"141,09"
04.12.2018,"137,93"
06.12.2018,"139,63"
07.12.2018,"137,42"
10.12.2018,"141,85"
11.12.2018,"142,08"
12.12.2018,"144,5"
13.12.2018,"145,01"
14.12.2018,"144,06"
17.12.2018,"140,19"
18.12.2018,"143,66"
19.12.2018,"133,24"
20.12.2018,"133,4"
21.12.2018,"124,95"
24.12.2018,"124,06"
26.12.2018,"134,18"
27.12.2018,"134,52"
28.12.2018,"133,2"
31.12.2018,"131,09"
